id,uid,date,attendance,timeValid,neutralSite,conferenceCompetition,recent,notes,startDate,type.id,type.abbreviation,status.clock,status.displayClock,status.period,status.type.id,status.type.name,status.type.state,status.type.completed,status.type.description,status.type.detail,status.type.shortDetail,home.id,home.uid,home.location,home.name,home.abbreviation,home.displayName,home.shortDisplayName,home.color,home.alternateColor,home.isActive,home.venue.id,home.logo,away.id,away.uid,away.location,away.name,away.abbreviation,away.displayName,away.shortDisplayName,away.color,away.alternateColor,away.isActive,away.venue.id,away.logo,season,venue.id,venue.fullName,venue.address.city,venue.address.state,venue.capacity,venue.indoor,status.type.altDetail,series.type,series.title,series.summary,series.completed,series.totalCompetitions,series.competitors,game_id
280914005,s:40~l:59~e:280914005~c:280914005,2008-09-14T16:30Z,0,True,False,False,False,[],2008-09-14T16:30Z,1,STD,0.0,0.0,4,3,STATUS_FINAL,post,True,Final,Final,Final,5,s:40~l:59~t:5,Indiana,Fever,IND,Indiana Fever,Fever,e2382f,08265b,True,,https://a.espncdn.com/i/teamlogos/wnba/500/ind.png,11,s:40~l:59~t:11,Phoenix,Mercury,PHO,Phoenix Mercury,Mercury,3a267d,e56020,True,1949,https://a.espncdn.com/i/teamlogos/wnba/500/pho.png,2008,,,,,,,,,,,,,,280914005
280914009,s:40~l:59~e:280914009~c:280914009,2008-09-14T20:00Z,0,True,False,False,False,[],2008-09-14T20:00Z,1,STD,0.0,0.0,4,3,STATUS_FINAL,post,True,Final,Final,Final,9,s:40~l:59~t:9,New York,Liberty,NYL,New York Liberty,Liberty,0d79b9,89c9bf,True,1826,https://a.espncdn.com/i/teamlogos/wnba/500/nyl.png,3,s:40~l:59~t:3,Detroit,Shock,TUL,Detroit Shock,Shock,11213e,c5d646,False,1911,https://a.espncdn.com/i/teamlogos/wnba/500/tul.png,2008,1830,Madison Square Garden,New York,NY,19763.0,False,,playoff,Playoff Series,TUL Wins series 2-1,True,3.0,"[{'id': '9', 'uid': 's:40~l:59~t:9', 'wins': 1, 'ties': 0, 'href': 'http://sports.core.api.espn.pvt/v2/sports/basketball/leagues/wnba/seasons/2008/teams/9?lang=en&region=us'}, {'id': '3', 'uid': 's:40~l:59~t:3', 'wins': 2, 'ties': 0, 'href': 'http://sports.core.api.espn.pvt/v2/sports/basketball/leagues/wnba/seasons/2008/teams/3?lang=en&region=us'}]",280914009
280914016,s:40~l:59~e:280914016~c:280914016,2008-09-14T20:00Z,0,True,False,False,False,[],2008-09-14T20:00Z,1,STD,0.0,0.0,4,3,STATUS_FINAL,post,True,Final,Final,Final,16,s:40~l:59~t:16,Washington,Mystics,WAS,Washington Mystics,Mystics,e03a3e,09295a,True,1823,https://a.espncdn.com/i/teamlogos/wnba/500/was.png,8,s:40~l:59~t:8,Minnesota,Lynx,MIN,Minnesota Lynx,Lynx,005084,47a757,True,2029,https://a.espncdn.com/i/teamlogos/wnba/500/min.png,2008,,,,,,,,,,,,,,280914016
280914019,s:40~l:59~e:280914019~c:280914019,2008-09-14T20:00Z,0,True,False,False,False,[],2008-09-14T20:00Z,1,STD,0.0,0.0,4,3,STATUS_FINAL,post,True,Final,Final,Final,19,s:40~l:59~t:19,Chicago,Sky,CHI,Chicago Sky,Sky,4f91cd,f1f2f3,True,1847,https://a.espncdn.com/i/teamlogos/wnba/500/chi.png,4,s:40~l:59~t:4,Houston,Comets,HOU,Houston Comets,Comets,,,True,,https://a.espncdn.com/i/teamlogos/wnba/500/hou.png,2008,,,,,,,,,,,,,,280914019
280914006,s:40~l:59~e:280914006~c:280914006,2008-09-14T20:30Z,0,True,False,False,False,[],2008-09-14T20:30Z,1,STD,0.0,0.0,4,3,STATUS_FINAL,post,True,Final,Final,Final,6,s:40~l:59~t:6,Los Angeles,Sparks,LOS,Los Angeles Sparks,Sparks,532481,49ac9c,True,1841,https://a.espncdn.com/i/teamlogos/wnba/500/los.png,14,s:40~l:59~t:14,Seattle,Storm,SEA,Seattle Storm,Storm,05452a,f7c43c,True,2184,https://a.espncdn.com/i/teamlogos/wnba/500/scoreboard/sea.png,2008,1841,STAPLES Center,Los Angeles,CA,19068.0,True,,playoff,Playoff Series,LOS Wins series 2-1,True,3.0,"[{'id': '6', 'uid': 's:40~l:59~t:6', 'wins': 2, 'ties': 0, 'href': 'http://sports.core.api.espn.pvt/v2/sports/basketball/leagues/wnba/seasons/2008/teams/6?lang=en&region=us'}, {'id': '14', 'uid': 's:40~l:59~t:14', 'wins': 1, 'ties': 0, 'href': 'http://sports.core.api.espn.pvt/v2/sports/basketball/leagues/wnba/seasons/2008/teams/14?lang=en&region=us'}]",280914006
280915004,s:40~l:59~e:280915004~c:280915004,2008-09-16T00:00Z,5586,True,False,False,False,"[{'type': 'event', 'headline': 'AT SAN MARCOS TX'}]",2008-09-16T00:00Z,1,STD,0.0,0.0,4,3,STATUS_FINAL,post,True,Final,Final,Final,4,s:40~l:59~t:4,Houston,Comets,HOU,Houston Comets,Comets,,,True,,https://a.espncdn.com/i/teamlogos/wnba/500/hou.png,13,s:40~l:59~t:13,Sacramento,Monarchs,SAC,Sacramento Monarchs,Monarchs,,,True,,https://a.espncdn.com/i/teamlogos/wnba/500/sac.png,2008,,,,,,,,,,,,,,280915004
280918009,s:40~l:59~e:280918009~c:280918009,2008-09-18T23:00Z,0,True,False,False,False,"[{'type': 'event', 'headline': 'PLAYOFFS'}]",2008-09-18T23:00Z,1,STD,0.0,0.0,4,3,STATUS_FINAL,post,True,Final,Final,Final,9,s:40~l:59~t:9,New York,Liberty,NYL,New York Liberty,Liberty,0d79b9,89c9bf,True,1826,https://a.espncdn.com/i/teamlogos/wnba/500/nyl.png,18,s:40~l:59~t:18,Connecticut,Sun,CT,Connecticut Sun,Sun,de6b36,002d62,True,2160,https://a.espncdn.com/i/teamlogos/wnba/500/ct.png,2008,1830,Madison Square Garden,New York,NY,19763.0,False,,playoff,Playoff Series,NYL leads series 1-0,False,3.0,"[{'id': '9', 'uid': 's:40~l:59~t:9', 'wins': 1, 'ties': 0, 'href': 'http://sports.core.api.espn.pvt/v2/sports/basketball/leagues/wnba/seasons/2008/teams/9?lang=en&region=us'}, {'id': '18', 'uid': 's:40~l:59~t:18', 'wins': 0, 'ties': 0, 'href': 'http://sports.core.api.espn.pvt/v2/sports/basketball/leagues/wnba/seasons/2008/teams/18?lang=en&region=us'}]",280918009
280918013,s:40~l:59~e:280918013~c:280918013,2008-09-19T01:00Z,0,True,False,False,False,"[{'type': 'event', 'headline': 'PLAYOFFS'}]",2008-09-19T01:00Z,1,STD,0.0,0.0,4,3,STATUS_FINAL,post,True,Final,Final,Final,13,s:40~l:59~t:13,Sacramento,Monarchs,SAC,Sacramento Monarchs,Monarchs,,,True,,https://a.espncdn.com/i/teamlogos/wnba/500/sac.png,17,s:40~l:59~t:17,San Antonio,Silver Stars,SAS,San Antonio Silver Stars,Silver Stars,000000,c7cfd4,False,780,https://a.espncdn.com/i/teamlogos/wnba/500/sas.png,2008,,,,,,,,playoff,Playoff Series,SAS leads series 1-0,False,3.0,"[{'id': '13', 'uid': 's:40~l:59~t:13', 'wins': 0, 'ties': 0, 'href': 'http://sports.core.api.espn.pvt/v2/sports/basketball/leagues/wnba/seasons/2008/teams/13?lang=en&region=us'}, {'id': '17', 'uid': 's:40~l:59~t:17', 'wins': 1, 'ties': 0, 'href': 'http://sports.core.api.espn.pvt/v2/sports/basketball/leagues/wnba/seasons/2008/teams/17?lang=en&region=us'}]",280918013
280919005,s:40~l:59~e:280919005~c:280919005,2008-09-19T23:00Z,0,True,False,False,False,"[{'type': 'event', 'headline': 'EASTERN CONFERENCE SEMIFINALS'}]",2008-09-19T23:00Z,1,STD,0.0,0.0,4,3,STATUS_FINAL,post,True,Final,Final,Final,5,s:40~l:59~t:5,Indiana,Fever,IND,Indiana Fever,Fever,e2382f,08265b,True,,https://a.espncdn.com/i/teamlogos/wnba/500/ind.png,3,s:40~l:59~t:3,Detroit,Shock,TUL,Detroit Shock,Shock,11213e,c5d646,False,1911,https://a.espncdn.com/i/teamlogos/wnba/500/tul.png,2008,,,,,,,,playoff,Playoff Series,TUL leads series 1-0,False,3.0,"[{'id': '5', 'uid': 's:40~l:59~t:5', 'wins': 0, 'ties': 0, 'href': 'http://sports.core.api.espn.pvt/v2/sports/basketball/leagues/wnba/seasons/2008/teams/5?lang=en&region=us'}, {'id': '3', 'uid': 's:40~l:59~t:3', 'wins': 1, 'ties': 0, 'href': 'http://sports.core.api.espn.pvt/v2/sports/basketball/leagues/wnba/seasons/2008/teams/3?lang=en&region=us'}]",280919005
280919006,s:40~l:59~e:280919006~c:280919006,2008-09-20T02:30Z,0,True,False,False,False,"[{'type': 'event', 'headline': 'WESTERN CONFERENCE SEMIFINALS'}]",2008-09-20T02:30Z,1,STD,0.0,0.0,4,3,STATUS_FINAL,post,True,Final,Final,Final,6,s:40~l:59~t:6,Los Angeles,Sparks,LOS,Los Angeles Sparks,Sparks,532481,49ac9c,True,1841,https://a.espncdn.com/i/teamlogos/wnba/500/los.png,14,s:40~l:59~t:14,Seattle,Storm,SEA,Seattle Storm,Storm,05452a,f7c43c,True,2184,https://a.espncdn.com/i/teamlogos/wnba/500/scoreboard/sea.png,2008,1841,STAPLES Center,Los Angeles,CA,19068.0,True,,playoff,Playoff Series,LOS leads series 1-0,False,3.0,"[{'id': '6', 'uid': 's:40~l:59~t:6', 'wins': 1, 'ties': 0, 'href': 'http://sports.core.api.espn.pvt/v2/sports/basketball/leagues/wnba/seasons/2008/teams/6?lang=en&region=us'}, {'id': '14', 'uid': 's:40~l:59~t:14', 'wins': 0, 'ties': 0, 'href': 'http://sports.core.api.espn.pvt/v2/sports/basketball/leagues/wnba/seasons/2008/teams/14?lang=en&region=us'}]",280919006
280920018,s:40~l:59~e:280920018~c:280920018,2008-09-20T23:00Z,0,True,False,False,False,"[{'type': 'event', 'headline': 'EASTERN CONFERENCE SEMIFINALS - GAME 2'}]",2008-09-20T23:00Z,1,STD,0.0,0.0,4,3,STATUS_FINAL,post,True,Final,Final,Final,18,s:40~l:59~t:18,Connecticut,Sun,CT,Connecticut Sun,Sun,de6b36,002d62,True,2160,https://a.espncdn.com/i/teamlogos/wnba/500/ct.png,9,s:40~l:59~t:9,New York,Liberty,NYL,New York Liberty,Liberty,0d79b9,89c9bf,True,1826,https://a.espncdn.com/i/teamlogos/wnba/500/nyl.png,2008,2160,Mohegan Sun Arena,Uncasville,CT,10000.0,True,,playoff,Playoff Series,Series tied 1-1,False,3.0,"[{'id': '18', 'uid': 's:40~l:59~t:18', 'wins': 1, 'ties': 0, 'href': 'http://sports.core.api.espn.pvt/v2/sports/basketball/leagues/wnba/seasons/2008/teams/18?lang=en&region=us'}, {'id': '9', 'uid': 's:40~l:59~t:9', 'wins': 1, 'ties': 0, 'href': 'http://sports.core.api.espn.pvt/v2/sports/basketball/leagues/wnba/seasons/2008/teams/9?lang=en&region=us'}]",280920018
280920017,s:40~l:59~e:280920017~c:280920017,2008-09-21T01:00Z,0,True,False,False,False,"[{'type': 'event', 'headline': 'WESTERN CONFERENCE SEMIFINALS - GAME 2'}]",2008-09-21T01:00Z,1,STD,0.0,0.0,4,3,STATUS_FINAL,post,True,Final,Final,Final,17,s:40~l:59~t:17,San Antonio,Silver Stars,SAS,San Antonio Silver Stars,Silver Stars,000000,c7cfd4,False,780,https://a.espncdn.com/i/teamlogos/wnba/500/sas.png,13,s:40~l:59~t:13,Sacramento,Monarchs,SAC,Sacramento Monarchs,Monarchs,,,True,,https://a.espncdn.com/i/teamlogos/wnba/500/sac.png,2008,,,,,,,,playoff,Playoff Series,Series tied 1-1,False,3.0,"[{'id': '17', 'uid': 's:40~l:59~t:17', 'wins': 1, 'ties': 0, 'href': 'http://sports.core.api.espn.pvt/v2/sports/basketball/leagues/wnba/seasons/2008/teams/17?lang=en&region=us'}, {'id': '13', 'uid': 's:40~l:59~t:13', 'wins': 1, 'ties': 0, 'href': 'http://sports.core.api.espn.pvt/v2/sports/basketball/leagues/wnba/seasons/2008/teams/13?lang=en&region=us'}]",280920017
280921003,s:40~l:59~e:280921003~c:280921003,2008-09-21T19:00Z,0,True,False,False,False,"[{'type': 'event', 'headline': 'EASTERN CONFERENCE SEMIFINALS -'}]",2008-09-21T19:00Z,1,STD,0.0,0.0,5,3,STATUS_FINAL,post,True,Final,Final/OT,Final/OT,3,s:40~l:59~t:3,Detroit,Shock,TUL,Detroit Shock,Shock,11213e,c5d646,False,1911,https://a.espncdn.com/i/teamlogos/wnba/500/tul.png,5,s:40~l:59~t:5,Indiana,Fever,IND,Indiana Fever,Fever,e2382f,08265b,True,,https://a.espncdn.com/i/teamlogos/wnba/500/ind.png,2008,3419,The Palace of Auburn Hills,Detroit,MI,22076.0,False,OT,playoff,Playoff Series,Series tied 1-1,False,3.0,"[{'id': '3', 'uid': 's:40~l:59~t:3', 'wins': 1, 'ties': 0, 'href': 'http://sports.core.api.espn.pvt/v2/sports/basketball/leagues/wnba/seasons/2008/teams/3?lang=en&region=us'}, {'id': '5', 'uid': 's:40~l:59~t:5', 'wins': 1, 'ties': 0, 'href': 'http://sports.core.api.espn.pvt/v2/sports/basketball/leagues/wnba/seasons/2008/teams/5?lang=en&region=us'}]",280921003
280921014,s:40~l:59~e:280921014~c:280921014,2008-09-21T21:00Z,0,True,False,False,False,"[{'type': 'event', 'headline': 'WESTERN CONFERENCE SEMIFINALS -'}]",2008-09-21T21:00Z,1,STD,0.0,0.0,4,3,STATUS_FINAL,post,True,Final,Final,Final,14,s:40~l:59~t:14,Seattle,Storm,SEA,Seattle Storm,Storm,05452a,f7c43c,True,2184,https://a.espncdn.com/i/teamlogos/wnba/500/scoreboard/sea.png,6,s:40~l:59~t:6,Los Angeles,Sparks,LOS,Los Angeles Sparks,Sparks,532481,49ac9c,True,1841,https://a.espncdn.com/i/teamlogos/wnba/500/los.png,2008,2184,KeyArena,Seattle,WA,17459.0,True,,playoff,Playoff Series,Series tied 1-1,False,3.0,"[{'id': '14', 'uid': 's:40~l:59~t:14', 'wins': 1, 'ties': 0, 'href': 'http://sports.core.api.espn.pvt/v2/sports/basketball/leagues/wnba/seasons/2008/teams/14?lang=en&region=us'}, {'id': '6', 'uid': 's:40~l:59~t:6', 'wins': 1, 'ties': 0, 'href': 'http://sports.core.api.espn.pvt/v2/sports/basketball/leagues/wnba/seasons/2008/teams/6?lang=en&region=us'}]",280921014
280922018,s:40~l:59~e:280922018~c:280922018,2008-09-22T23:00Z,0,True,False,False,False,"[{'type': 'event', 'headline': 'EASTERN CONFERENCE SEMIFINALS -'}]",2008-09-22T23:00Z,1,STD,0.0,0.0,4,3,STATUS_FINAL,post,True,Final,Final,Final,18,s:40~l:59~t:18,Connecticut,Sun,CT,Connecticut Sun,Sun,de6b36,002d62,True,2160,https://a.espncdn.com/i/teamlogos/wnba/500/ct.png,9,s:40~l:59~t:9,New York,Liberty,NYL,New York Liberty,Liberty,0d79b9,89c9bf,True,1826,https://a.espncdn.com/i/teamlogos/wnba/500/nyl.png,2008,2160,Mohegan Sun Arena,Uncasville,CT,10000.0,True,,playoff,Playoff Series,NYL Wins series 2-1,True,3.0,"[{'id': '18', 'uid': 's:40~l:59~t:18', 'wins': 1, 'ties': 0, 'href': 'http://sports.core.api.espn.pvt/v2/sports/basketball/leagues/wnba/seasons/2008/teams/18?lang=en&region=us'}, {'id': '9', 'uid': 's:40~l:59~t:9', 'wins': 2, 'ties': 0, 'href': 'http://sports.core.api.espn.pvt/v2/sports/basketball/leagues/wnba/seasons/2008/teams/9?lang=en&region=us'}]",280922018
280922017,s:40~l:59~e:280922017~c:280922017,2008-09-23T01:00Z,0,True,False,False,False,"[{'type': 'event', 'headline': 'WESTERN CONFERENCE SEMIFINALS -'}]",2008-09-23T01:00Z,1,STD,0.0,0.0,5,3,STATUS_FINAL,post,True,Final,Final/OT,Final/OT,17,s:40~l:59~t:17,San Antonio,Silver Stars,SAS,San Antonio Silver Stars,Silver Stars,000000,c7cfd4,False,780,https://a.espncdn.com/i/teamlogos/wnba/500/sas.png,13,s:40~l:59~t:13,Sacramento,Monarchs,SAC,Sacramento Monarchs,Monarchs,,,True,,https://a.espncdn.com/i/teamlogos/wnba/500/sac.png,2008,,,,,,,OT,playoff,Playoff Series,SAS Wins series 2-1,True,3.0,"[{'id': '17', 'uid': 's:40~l:59~t:17', 'wins': 2, 'ties': 0, 'href': 'http://sports.core.api.espn.pvt/v2/sports/basketball/leagues/wnba/seasons/2008/teams/17?lang=en&region=us'}, {'id': '13', 'uid': 's:40~l:59~t:13', 'wins': 1, 'ties': 0, 'href': 'http://sports.core.api.espn.pvt/v2/sports/basketball/leagues/wnba/seasons/2008/teams/13?lang=en&region=us'}]",280922017
280923003,s:40~l:59~e:280923003~c:280923003,2008-09-23T23:00Z,0,True,False,False,False,"[{'type': 'event', 'headline': 'EASTERN CONFERENCE SEMIFINALS -'}]",2008-09-23T23:00Z,1,STD,0.0,0.0,4,3,STATUS_FINAL,post,True,Final,Final,Final,3,s:40~l:59~t:3,Detroit,Shock,TUL,Detroit Shock,Shock,11213e,c5d646,False,1911,https://a.espncdn.com/i/teamlogos/wnba/500/tul.png,5,s:40~l:59~t:5,Indiana,Fever,IND,Indiana Fever,Fever,e2382f,08265b,True,,https://a.espncdn.com/i/teamlogos/wnba/500/ind.png,2008,3419,The Palace of Auburn Hills,Detroit,MI,22076.0,False,,playoff,Playoff Series,TUL Wins series 2-1,True,3.0,"[{'id': '3', 'uid': 's:40~l:59~t:3', 'wins': 2, 'ties': 0, 'href': 'http://sports.core.api.espn.pvt/v2/sports/basketball/leagues/wnba/seasons/2008/teams/3?lang=en&region=us'}, {'id': '5', 'uid': 's:40~l:59~t:5', 'wins': 1, 'ties': 0, 'href': 'http://sports.core.api.espn.pvt/v2/sports/basketball/leagues/wnba/seasons/2008/teams/5?lang=en&region=us'}]",280923003
280923014,s:40~l:59~e:280923014~c:280923014,2008-09-24T01:00Z,0,True,False,False,False,"[{'type': 'event', 'headline': 'WESTERN CONFERENCE SEMIFINALS -'}]",2008-09-24T01:00Z,1,STD,0.0,0.0,4,3,STATUS_FINAL,post,True,Final,Final,Final,14,s:40~l:59~t:14,Seattle,Storm,SEA,Seattle Storm,Storm,05452a,f7c43c,True,2184,https://a.espncdn.com/i/teamlogos/wnba/500/scoreboard/sea.png,6,s:40~l:59~t:6,Los Angeles,Sparks,LOS,Los Angeles Sparks,Sparks,532481,49ac9c,True,1841,https://a.espncdn.com/i/teamlogos/wnba/500/los.png,2008,2184,KeyArena,Seattle,WA,17459.0,True,,playoff,Playoff Series,LOS Wins series 2-1,True,3.0,"[{'id': '14', 'uid': 's:40~l:59~t:14', 'wins': 1, 'ties': 0, 'href': 'http://sports.core.api.espn.pvt/v2/sports/basketball/leagues/wnba/seasons/2008/teams/14?lang=en&region=us'}, {'id': '6', 'uid': 's:40~l:59~t:6', 'wins': 2, 'ties': 0, 'href': 'http://sports.core.api.espn.pvt/v2/sports/basketball/leagues/wnba/seasons/2008/teams/6?lang=en&region=us'}]",280923014
280925006,s:40~l:59~e:280925006~c:280925006,2008-09-26T02:30Z,0,True,False,False,False,"[{'type': 'event', 'headline': 'WESTERN CONFERENCE FINALS - GAME 1'}]",2008-09-26T02:30Z,1,STD,0.0,0.0,4,3,STATUS_FINAL,post,True,Final,Final,Final,6,s:40~l:59~t:6,Los Angeles,Sparks,LOS,Los Angeles Sparks,Sparks,532481,49ac9c,True,1841,https://a.espncdn.com/i/teamlogos/wnba/500/los.png,17,s:40~l:59~t:17,San Antonio,Silver Stars,SAS,San Antonio Silver Stars,Silver Stars,000000,c7cfd4,False,780,https://a.espncdn.com/i/teamlogos/wnba/500/sas.png,2008,1841,STAPLES Center,Los Angeles,CA,19068.0,True,,playoff,Playoff Series,LOS leads series 1-0,False,3.0,"[{'id': '6', 'uid': 's:40~l:59~t:6', 'wins': 1, 'ties': 0, 'href': 'http://sports.core.api.espn.pvt/v2/sports/basketball/leagues/wnba/seasons/2008/teams/6?lang=en&region=us'}, {'id': '17', 'uid': 's:40~l:59~t:17', 'wins': 0, 'ties': 0, 'href': 'http://sports.core.api.espn.pvt/v2/sports/basketball/leagues/wnba/seasons/2008/teams/17?lang=en&region=us'}]",280925006
280926009,s:40~l:59~e:280926009~c:280926009,2008-09-26T23:30Z,0,True,False,False,False,"[{'type': 'event', 'headline': 'EASTERN CONFERENCE FINALS - GAME 1'}]",2008-09-26T23:30Z,1,STD,0.0,0.0,4,3,STATUS_FINAL,post,True,Final,Final,Final,9,s:40~l:59~t:9,New York,Liberty,NYL,New York Liberty,Liberty,0d79b9,89c9bf,True,1826,https://a.espncdn.com/i/teamlogos/wnba/500/nyl.png,3,s:40~l:59~t:3,Detroit,Shock,TUL,Detroit Shock,Shock,11213e,c5d646,False,1911,https://a.espncdn.com/i/teamlogos/wnba/500/tul.png,2008,1830,Madison Square Garden,New York,NY,19763.0,False,,playoff,Playoff Series,NYL leads series 1-0,False,3.0,"[{'id': '9', 'uid': 's:40~l:59~t:9', 'wins': 1, 'ties': 0, 'href': 'http://sports.core.api.espn.pvt/v2/sports/basketball/leagues/wnba/seasons/2008/teams/9?lang=en&region=us'}, {'id': '3', 'uid': 's:40~l:59~t:3', 'wins': 0, 'ties': 0, 'href': 'http://sports.core.api.espn.pvt/v2/sports/basketball/leagues/wnba/seasons/2008/teams/3?lang=en&region=us'}]",280926009
280927017,s:40~l:59~e:280927017~c:280927017,2008-09-27T19:00Z,0,True,False,False,False,"[{'type': 'event', 'headline': 'WESTERN CONFERENCE FINALS - GAME 2'}]",2008-09-27T19:00Z,1,STD,0.0,0.0,4,3,STATUS_FINAL,post,True,Final,Final,Final,17,s:40~l:59~t:17,San Antonio,Silver Stars,SAS,San Antonio Silver Stars,Silver Stars,000000,c7cfd4,False,780,https://a.espncdn.com/i/teamlogos/wnba/500/sas.png,6,s:40~l:59~t:6,Los Angeles,Sparks,LOS,Los Angeles Sparks,Sparks,532481,49ac9c,True,1841,https://a.espncdn.com/i/teamlogos/wnba/500/los.png,2008,,,,,,,,playoff,Playoff Series,Series tied 1-1,False,3.0,"[{'id': '17', 'uid': 's:40~l:59~t:17', 'wins': 1, 'ties': 0, 'href': 'http://sports.core.api.espn.pvt/v2/sports/basketball/leagues/wnba/seasons/2008/teams/17?lang=en&region=us'}, {'id': '6', 'uid': 's:40~l:59~t:6', 'wins': 1, 'ties': 0, 'href': 'http://sports.core.api.espn.pvt/v2/sports/basketball/leagues/wnba/seasons/2008/teams/6?lang=en&region=us'}]",280927017
280928003,s:40~l:59~e:280928003~c:280928003,2008-09-28T19:00Z,0,True,False,False,False,"[{'type': 'event', 'headline': 'EASTERN CONFERENCE FINALS - GAME 2'}]",2008-09-28T19:00Z,1,STD,0.0,0.0,4,3,STATUS_FINAL,post,True,Final,Final,Final,3,s:40~l:59~t:3,Detroit,Shock,TUL,Detroit Shock,Shock,11213e,c5d646,False,1911,https://a.espncdn.com/i/teamlogos/wnba/500/tul.png,9,s:40~l:59~t:9,New York,Liberty,NYL,New York Liberty,Liberty,0d79b9,89c9bf,True,1826,https://a.espncdn.com/i/teamlogos/wnba/500/nyl.png,2008,3419,The Palace of Auburn Hills,Detroit,MI,22076.0,False,,playoff,Playoff Series,Series tied 1-1,False,3.0,"[{'id': '3', 'uid': 's:40~l:59~t:3', 'wins': 1, 'ties': 0, 'href': 'http://sports.core.api.espn.pvt/v2/sports/basketball/leagues/wnba/seasons/2008/teams/3?lang=en&region=us'}, {'id': '9', 'uid': 's:40~l:59~t:9', 'wins': 1, 'ties': 0, 'href': 'http://sports.core.api.espn.pvt/v2/sports/basketball/leagues/wnba/seasons/2008/teams/9?lang=en&region=us'}]",280928003
280928017,s:40~l:59~e:280928017~c:280928017,2008-09-28T21:00Z,0,True,False,False,False,"[{'type': 'event', 'headline': 'WESTERN CONFERENCE FINALS - GAME 3'}]",2008-09-28T21:00Z,1,STD,0.0,0.0,4,3,STATUS_FINAL,post,True,Final,Final,Final,17,s:40~l:59~t:17,San Antonio,Silver Stars,SAS,San Antonio Silver Stars,Silver Stars,000000,c7cfd4,False,780,https://a.espncdn.com/i/teamlogos/wnba/500/sas.png,6,s:40~l:59~t:6,Los Angeles,Sparks,LOS,Los Angeles Sparks,Sparks,532481,49ac9c,True,1841,https://a.espncdn.com/i/teamlogos/wnba/500/los.png,2008,,,,,,,,playoff,Playoff Series,SAS Wins series 2-1,True,3.0,"[{'id': '17', 'uid': 's:40~l:59~t:17', 'wins': 2, 'ties': 0, 'href': 'http://sports.core.api.espn.pvt/v2/sports/basketball/leagues/wnba/seasons/2008/teams/17?lang=en&region=us'}, {'id': '6', 'uid': 's:40~l:59~t:6', 'wins': 1, 'ties': 0, 'href': 'http://sports.core.api.espn.pvt/v2/sports/basketball/leagues/wnba/seasons/2008/teams/6?lang=en&region=us'}]",280928017
280929003,s:40~l:59~e:280929003~c:280929003,2008-09-29T23:00Z,0,True,False,False,False,"[{'type': 'event', 'headline': 'EASTERN CONFERENCE FINALS - GAME 3'}]",2008-09-29T23:00Z,1,STD,0.0,0.0,4,3,STATUS_FINAL,post,True,Final,Final,Final,3,s:40~l:59~t:3,Detroit,Shock,TUL,Detroit Shock,Shock,11213e,c5d646,False,1911,https://a.espncdn.com/i/teamlogos/wnba/500/tul.png,9,s:40~l:59~t:9,New York,Liberty,NYL,New York Liberty,Liberty,0d79b9,89c9bf,True,1826,https://a.espncdn.com/i/teamlogos/wnba/500/nyl.png,2008,3419,The Palace of Auburn Hills,Detroit,MI,22076.0,False,,playoff,Playoff Series,TUL Wins series 2-1,True,3.0,"[{'id': '3', 'uid': 's:40~l:59~t:3', 'wins': 2, 'ties': 0, 'href': 'http://sports.core.api.espn.pvt/v2/sports/basketball/leagues/wnba/seasons/2008/teams/3?lang=en&region=us'}, {'id': '9', 'uid': 's:40~l:59~t:9', 'wins': 1, 'ties': 0, 'href': 'http://sports.core.api.espn.pvt/v2/sports/basketball/leagues/wnba/seasons/2008/teams/9?lang=en&region=us'}]",280929003
281001017,s:40~l:59~e:281001017~c:281001017,2008-10-01T23:30Z,0,True,False,False,False,"[{'type': 'event', 'headline': 'WNBA FINALS - GAME 1'}]",2008-10-01T23:30Z,1,STD,0.0,0.0,4,3,STATUS_FINAL,post,True,Final,Final,Final,17,s:40~l:59~t:17,San Antonio,Silver Stars,SAS,San Antonio Silver Stars,Silver Stars,000000,c7cfd4,False,780,https://a.espncdn.com/i/teamlogos/wnba/500/sas.png,3,s:40~l:59~t:3,Detroit,Shock,TUL,Detroit Shock,Shock,11213e,c5d646,False,1911,https://a.espncdn.com/i/teamlogos/wnba/500/tul.png,2008,,,,,,,,playoff,Playoff Series,TUL leads series 1-0,False,5.0,"[{'id': '17', 'uid': 's:40~l:59~t:17', 'wins': 0, 'ties': 0, 'href': 'http://sports.core.api.espn.pvt/v2/sports/basketball/leagues/wnba/seasons/2008/teams/17?lang=en&region=us'}, {'id': '3', 'uid': 's:40~l:59~t:3', 'wins': 1, 'ties': 0, 'href': 'http://sports.core.api.espn.pvt/v2/sports/basketball/leagues/wnba/seasons/2008/teams/3?lang=en&region=us'}]",281001017
