"id","uid","date","attendance","timeValid","neutralSite","conferenceCompetition","recent","notes","startDate","type.id","type.abbreviation","venue.id","venue.fullName","venue.address.city","venue.address.state","venue.capacity","venue.indoor","status.clock","status.displayClock","status.period","status.type.id","status.type.name","status.type.state","status.type.completed","status.type.description","status.type.detail","status.type.shortDetail","series.type","series.title","series.summary","series.completed","series.totalCompetitions","series.competitors","home.id","home.uid","home.location","home.name","home.abbreviation","home.displayName","home.shortDisplayName","home.color","home.alternateColor","home.isActive","home.venue.id","home.logo","away.id","away.uid","away.location","away.name","away.abbreviation","away.displayName","away.shortDisplayName","away.color","away.alternateColor","away.isActive","away.venue.id","away.logo","season","game_id","PBP"
240529003,"s:40~l:59~e:240529003~c:240529003","2004-05-29T20:00Z",0,"True","False","False","False","[]","2004-05-29T20:00Z",1,"STD",3419,"The Palace of Auburn Hills","Detroit","MI",22076,"False",0,"0",2,3,"STATUS_FINAL","post","True","Final","Final","Final","","","","",NA,"",3,"s:40~l:59~t:3","Detroit","Shock","TUL","Detroit Shock","Shock","11213e","c5d646","False",1911,"https://a.espncdn.com/i/teamlogos/wnba/500/tul.png",6,"s:40~l:59~t:6","Los Angeles","Sparks","LOS","Los Angeles Sparks","Sparks","532481","49ac9c","True",1841,"https://a.espncdn.com/i/teamlogos/wnba/500/los.png",2004,240529003,TRUE
240528011,"s:40~l:59~e:240528011~c:240528011","2004-05-29T02:00Z",0,"True","False","False","False","[]","2004-05-29T02:00Z",1,"STD",1949,"Phoenix Suns Arena","Phoenix","AZ",18055,"True",0,"0",2,3,"STATUS_FINAL","post","True","Final","Final","Final","","","","",NA,"",11,"s:40~l:59~t:11","Phoenix","Mercury","PHO","Phoenix Mercury","Mercury","3a267d","e56020","True",1949,"https://a.espncdn.com/i/teamlogos/wnba/500/pho.png",14,"s:40~l:59~t:14","Seattle","Storm","SEA","Seattle Storm","Storm","05452a","f7c43c","True",2184,"https://a.espncdn.com/i/teamlogos/wnba/500/scoreboard/sea.png",2004,240528011,TRUE
240528008,"s:40~l:59~e:240528008~c:240528008","2004-05-29T00:00Z",0,"True","False","False","False","[]","2004-05-29T00:00Z",1,"STD",2029,"Target Center","Minneapolis","MN",19006,"False",0,"0",2,3,"STATUS_FINAL","post","True","Final","Final","Final","","","","",NA,"",8,"s:40~l:59~t:8","Minnesota","Lynx","MIN","Minnesota Lynx","Lynx","005084","47a757","True",2029,"https://a.espncdn.com/i/teamlogos/wnba/500/min.png",16,"s:40~l:59~t:16","Washington","Mystics","WAS","Washington Mystics","Mystics","e03a3e","09295a","True",1823,"https://a.espncdn.com/i/teamlogos/wnba/500/was.png",2004,240528008,TRUE
240528017,"s:40~l:59~e:240528017~c:240528017","2004-05-29T00:00Z",0,"True","False","False","False","[]","2004-05-29T00:00Z",1,"STD",780,"AT&T Center","San Antonio","TX",18500,"False",0,"0",2,3,"STATUS_FINAL","post","True","Final","Final","Final","","","","",NA,"",17,"s:40~l:59~t:17","San Antonio","Silver Stars","SAS","San Antonio Silver Stars","Silver Stars","000000","c7cfd4","False",780,"https://a.espncdn.com/i/teamlogos/wnba/500/sas.png",13,"s:40~l:59~t:13","Sacramento","Monarchs","SAC","Sacramento Monarchs","Monarchs","","","True",NA,"https://a.espncdn.com/i/teamlogos/wnba/500/sac.png",2004,240528017,TRUE
240528001,"s:40~l:59~e:240528001~c:240528001","2004-05-28T23:00Z",0,"True","False","False","False","[]","2004-05-28T23:00Z",1,"STD",NA,"","","",NA,"",0,"0",2,3,"STATUS_FINAL","post","True","Final","Final","Final","","","","",NA,"",1,"s:40~l:59~t:1","Charlotte","Sting","CHA","Charlotte Sting","Sting","","","True",NA,"https://a.espncdn.com/i/teamlogos/wnba/500/cha.png",5,"s:40~l:59~t:5","Indiana","Fever","IND","Indiana Fever","Fever","e2382f","08265b","True",NA,"https://a.espncdn.com/i/teamlogos/wnba/500/ind.png",2004,240528001,TRUE
240527018,"s:40~l:59~e:240527018~c:240527018","2004-05-27T23:00Z",0,"True","False","False","False","[]","2004-05-27T23:00Z",1,"STD",2160,"Mohegan Sun Arena","Uncasville","CT",10000,"True",0,"0",2,3,"STATUS_FINAL","post","True","Final","Final","Final","","","","",NA,"",18,"s:40~l:59~t:18","Connecticut","Sun","CT","Connecticut Sun","Sun","de6b36","002d62","True",2160,"https://a.espncdn.com/i/teamlogos/wnba/500/ct.png",6,"s:40~l:59~t:6","Los Angeles","Sparks","LOS","Los Angeles Sparks","Sparks","532481","49ac9c","True",1841,"https://a.espncdn.com/i/teamlogos/wnba/500/los.png",2004,240527018,TRUE
240526017,"s:40~l:59~e:240526017~c:240526017","2004-05-27T00:00Z",0,"True","False","False","False","[]","2004-05-27T00:00Z",1,"STD",780,"AT&T Center","San Antonio","TX",18500,"False",0,"0",2,3,"STATUS_FINAL","post","True","Final","Final","Final","","","","",NA,"",17,"s:40~l:59~t:17","San Antonio","Silver Stars","SAS","San Antonio Silver Stars","Silver Stars","000000","c7cfd4","False",780,"https://a.espncdn.com/i/teamlogos/wnba/500/sas.png",8,"s:40~l:59~t:8","Minnesota","Lynx","MIN","Minnesota Lynx","Lynx","005084","47a757","True",2029,"https://a.espncdn.com/i/teamlogos/wnba/500/min.png",2004,240526017,TRUE
240526009,"s:40~l:59~e:240526009~c:240526009","2004-05-26T23:30Z",0,"True","False","False","False","[]","2004-05-26T23:30Z",1,"STD",1830,"Madison Square Garden","New York","NY",19763,"False",0,"0",2,3,"STATUS_FINAL","post","True","Final","Final","Final","playoff","Playoff Series","NYL Wins series 2-1","True",3,"[{'id': '9', 'uid': 's:40~l:59~t:9', 'wins': 2, 'ties': 0, 'href': 'http://sports.core.api.espn.pvt/v2/sports/basketball/leagues/wnba/seasons/2004/teams/9?lang=en&region=us'}, {'id': '3', 'uid': 's:40~l:59~t:3', 'wins': 1, 'ties': 0, 'href': 'http://sports.core.api.espn.pvt/v2/sports/basketball/leagues/wnba/seasons/2004/teams/3?lang=en&region=us'}]",9,"s:40~l:59~t:9","New York","Liberty","NYL","New York Liberty","Liberty","0d79b9","89c9bf","True",1826,"https://a.espncdn.com/i/teamlogos/wnba/500/nyl.png",3,"s:40~l:59~t:3","Detroit","Shock","TUL","Detroit Shock","Shock","11213e","c5d646","False",1911,"https://a.espncdn.com/i/teamlogos/wnba/500/tul.png",2004,240526009,TRUE
240525018,"s:40~l:59~e:240525018~c:240525018","2004-05-25T23:00Z",0,"True","False","False","False","[]","2004-05-25T23:00Z",1,"STD",2160,"Mohegan Sun Arena","Uncasville","CT",10000,"True",0,"0",2,3,"STATUS_FINAL","post","True","Final","Final","Final","","","","",NA,"",18,"s:40~l:59~t:18","Connecticut","Sun","CT","Connecticut Sun","Sun","de6b36","002d62","True",2160,"https://a.espncdn.com/i/teamlogos/wnba/500/ct.png",4,"s:40~l:59~t:4","Houston","Comets","HOU","Houston Comets","Comets","","","True",NA,"https://a.espncdn.com/i/teamlogos/wnba/500/hou.png",2004,240525018,TRUE
240523005,"s:40~l:59~e:240523005~c:240523005","2004-05-24T00:00Z",0,"True","False","False","False","[]","2004-05-24T00:00Z",1,"STD",NA,"","","",NA,"",0,"0",2,3,"STATUS_FINAL","post","True","Final","Final","Final","","","","",NA,"",5,"s:40~l:59~t:5","Indiana","Fever","IND","Indiana Fever","Fever","e2382f","08265b","True",NA,"https://a.espncdn.com/i/teamlogos/wnba/500/ind.png",16,"s:40~l:59~t:16","Washington","Mystics","WAS","Washington Mystics","Mystics","e03a3e","09295a","True",1823,"https://a.espncdn.com/i/teamlogos/wnba/500/was.png",2004,240523005,TRUE
240523009,"s:40~l:59~e:240523009~c:240523009","2004-05-23T20:00Z",0,"True","False","False","False","[]","2004-05-23T20:00Z",1,"STD",1830,"Madison Square Garden","New York","NY",19763,"False",0,"0",2,3,"STATUS_FINAL","post","True","Final","Final","Final","","","","",NA,"",9,"s:40~l:59~t:9","New York","Liberty","NYL","New York Liberty","Liberty","0d79b9","89c9bf","True",1826,"https://a.espncdn.com/i/teamlogos/wnba/500/nyl.png",4,"s:40~l:59~t:4","Houston","Comets","HOU","Houston Comets","Comets","","","True",NA,"https://a.espncdn.com/i/teamlogos/wnba/500/hou.png",2004,240523009,TRUE
240522013,"s:40~l:59~e:240522013~c:240522013","2004-05-23T02:00Z",0,"True","False","False","False","[]","2004-05-23T02:00Z",1,"STD",NA,"","","",NA,"",0,"0",2,3,"STATUS_FINAL","post","True","Final","Final","Final","","","","",NA,"",13,"s:40~l:59~t:13","Sacramento","Monarchs","SAC","Sacramento Monarchs","Monarchs","","","True",NA,"https://a.espncdn.com/i/teamlogos/wnba/500/sac.png",8,"s:40~l:59~t:8","Minnesota","Lynx","MIN","Minnesota Lynx","Lynx","005084","47a757","True",2029,"https://a.espncdn.com/i/teamlogos/wnba/500/min.png",2004,240522013,TRUE
240522014,"s:40~l:59~e:240522014~c:240522014","2004-05-23T02:00Z",0,"True","False","False","False","[]","2004-05-23T02:00Z",1,"STD",2184,"KeyArena","Seattle","WA",17459,"True",0,"0",2,3,"STATUS_FINAL","post","True","Final","Final","Final","","","","",NA,"",14,"s:40~l:59~t:14","Seattle","Storm","SEA","Seattle Storm","Storm","05452a","f7c43c","True",2184,"https://a.espncdn.com/i/teamlogos/wnba/500/scoreboard/sea.png",6,"s:40~l:59~t:6","Los Angeles","Sparks","LOS","Los Angeles Sparks","Sparks","532481","49ac9c","True",1841,"https://a.espncdn.com/i/teamlogos/wnba/500/los.png",2004,240522014,TRUE
240522017,"s:40~l:59~e:240522017~c:240522017","2004-05-23T00:00Z",0,"True","False","False","False","[]","2004-05-23T00:00Z",1,"STD",780,"AT&T Center","San Antonio","TX",18500,"False",0,"0",2,3,"STATUS_FINAL","post","True","Final","Final","Final","","","","",NA,"",17,"s:40~l:59~t:17","San Antonio","Silver Stars","SAS","San Antonio Silver Stars","Silver Stars","000000","c7cfd4","False",780,"https://a.espncdn.com/i/teamlogos/wnba/500/sas.png",3,"s:40~l:59~t:3","Detroit","Shock","TUL","Detroit Shock","Shock","11213e","c5d646","False",1911,"https://a.espncdn.com/i/teamlogos/wnba/500/tul.png",2004,240522017,TRUE
240522016,"s:40~l:59~e:240522016~c:240522016","2004-05-22T22:00Z",0,"True","False","False","False","[]","2004-05-22T22:00Z",1,"STD",1823,"Capital One Arena","Washington","DC",20362,"True",0,"0",2,3,"STATUS_FINAL","post","True","Final","Final","Final","","","","",NA,"",16,"s:40~l:59~t:16","Washington","Mystics","WAS","Washington Mystics","Mystics","e03a3e","09295a","True",1823,"https://a.espncdn.com/i/teamlogos/wnba/500/was.png",1,"s:40~l:59~t:1","Charlotte","Sting","CHA","Charlotte Sting","Sting","","","True",NA,"https://a.espncdn.com/i/teamlogos/wnba/500/cha.png",2004,240522016,TRUE
240522018,"s:40~l:59~e:240522018~c:240522018","2004-05-22T20:00Z",0,"True","False","False","False","[]","2004-05-22T20:00Z",1,"STD",2160,"Mohegan Sun Arena","Uncasville","CT",10000,"True",0,"0",2,3,"STATUS_FINAL","post","True","Final","Final","Final","","","","",NA,"",18,"s:40~l:59~t:18","Connecticut","Sun","CT","Connecticut Sun","Sun","de6b36","002d62","True",2160,"https://a.espncdn.com/i/teamlogos/wnba/500/ct.png",11,"s:40~l:59~t:11","Phoenix","Mercury","PHO","Phoenix Mercury","Mercury","3a267d","e56020","True",1949,"https://a.espncdn.com/i/teamlogos/wnba/500/pho.png",2004,240522018,TRUE
240521005,"s:40~l:59~e:240521005~c:240521005","2004-05-22T00:00Z",0,"True","False","False","False","[]","2004-05-22T00:00Z",1,"STD",NA,"","","",NA,"",0,"0",2,3,"STATUS_FINAL","post","True","Final","Final","Final","","","","",NA,"",5,"s:40~l:59~t:5","Indiana","Fever","IND","Indiana Fever","Fever","e2382f","08265b","True",NA,"https://a.espncdn.com/i/teamlogos/wnba/500/ind.png",9,"s:40~l:59~t:9","New York","Liberty","NYL","New York Liberty","Liberty","0d79b9","89c9bf","True",1826,"https://a.espncdn.com/i/teamlogos/wnba/500/nyl.png",2004,240521005,TRUE
240521001,"s:40~l:59~e:240521001~c:240521001","2004-05-21T23:00Z",0,"True","False","False","False","[]","2004-05-21T23:00Z",1,"STD",NA,"","","",NA,"",0,"0",2,3,"STATUS_FINAL","post","True","Final","Final","Final","","","","",NA,"",1,"s:40~l:59~t:1","Charlotte","Sting","CHA","Charlotte Sting","Sting","","","True",NA,"https://a.espncdn.com/i/teamlogos/wnba/500/cha.png",4,"s:40~l:59~t:4","Houston","Comets","HOU","Houston Comets","Comets","","","True",NA,"https://a.espncdn.com/i/teamlogos/wnba/500/hou.png",2004,240521001,TRUE
240520014,"s:40~l:59~e:240520014~c:240520014","2004-05-21T02:00Z",0,"True","False","False","False","[]","2004-05-21T02:00Z",1,"STD",2184,"KeyArena","Seattle","WA",17459,"True",0,"0",2,3,"STATUS_FINAL","post","True","Final","Final","Final","playoff","Playoff Series","SEA Wins series 2-0","True",3,"[{'id': '14', 'uid': 's:40~l:59~t:14', 'wins': 2, 'ties': 0, 'href': 'http://sports.core.api.espn.pvt/v2/sports/basketball/leagues/wnba/seasons/2004/teams/14?lang=en&region=us'}, {'id': '8', 'uid': 's:40~l:59~t:8', 'wins': 0, 'ties': 0, 'href': 'http://sports.core.api.espn.pvt/v2/sports/basketball/leagues/wnba/seasons/2004/teams/8?lang=en&region=us'}]",14,"s:40~l:59~t:14","Seattle","Storm","SEA","Seattle Storm","Storm","05452a","f7c43c","True",2184,"https://a.espncdn.com/i/teamlogos/wnba/500/scoreboard/sea.png",8,"s:40~l:59~t:8","Minnesota","Lynx","MIN","Minnesota Lynx","Lynx","005084","47a757","True",2029,"https://a.espncdn.com/i/teamlogos/wnba/500/min.png",2004,240520014,TRUE
